Name,Pokemon Number,Stat Total,HP,Attack,Defense,Speed,Sp.Def,Sp.Atk,First Type,Second Type,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,isSubLegendary,isLegendary,isMythical,isFullyEvolved
Venusaur,3,525,80,82,83,80,100,100,Grass,Poison,Overgrow,None,Chlorophyll,1,Grass,Monster,FALSE,FALSE,FALSE,TRUE
Charizard,6,534,78,84,78,100,85,109,Fire,Flying,Blaze,None,Solar Power,1,Dragon,Monster,FALSE,FALSE,FALSE,TRUE
Blastoise,9,530,79,83,100,78,105,85,Water,None,Torrent,None,Rain Dish,1,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Butterfree,12,395,60,45,50,70,80,90,Bug,Flying,Compound Eyes,None,Tinted Lens,1,Bug,None,FALSE,FALSE,FALSE,TRUE
Beedrill,15,395,65,90,40,75,80,45,Bug,Poison,Swarm,None,Sniper,1,Bug,None,FALSE,FALSE,FALSE,TRUE
Pidgeot,18,479,83,80,75,101,70,70,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,Flying,None,FALSE,FALSE,FALSE,TRUE
Raticate,20,413,55,81,60,97,70,50,Normal,None,Run Away,Guts,Hustle,1,Field,None,FALSE,FALSE,FALSE,TRUE
Raticate(Alolan Raticate),20,413,75,71,70,77,80,40,Dark,Normal,Gluttony,Hustle,Thick Fat,7,Field,None,FALSE,FALSE,FALSE,TRUE
Fearow,22,442,65,90,65,100,61,61,Normal,Flying,Keen Eye,None,Sniper,1,Flying,None,FALSE,FALSE,FALSE,TRUE
Arbok,24,448,60,95,69,80,79,65,Poison,None,Intimidate,Shed Skin,Unnerve,1,Dragon,Field,FALSE,FALSE,FALSE,TRUE
Raichu,26,485,60,90,55,110,80,90,Electric,None,Static,None,Lightning Rod,1,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Raichu(Alolan Raichu),26,485,60,85,50,110,85,95,Electric,Psychic,Surge Surfer,None,None,7,Fairy,Field,FALSE,FALSE,FALSE,TRUE
Sandslash,28,450,75,100,110,65,55,45,Ground,None,Sand Veil,None,Sand Rush,1,Field,None,FALSE,FALSE,FALSE,TRUE
Sandslash(Alolan Sandslash),28,450,75,100,120,65,65,25,Ice,Steel,Snow Cloak,None,Slush Rush,7,Field,None,FALSE,FALSE,FALSE,TRUE
Nidoqueen,31,505,90,92,87,76,85,75,Poison,Ground,Poison Point,Rivalry,Sheer Force,1,Undiscovered,None,FALSE,FALSE,FALSE,TRUE
Nidoking,34,505,81,102,77,85,75,85,Poison,Ground,Poison Point,Rivalry,Sheer Force,1,Field,Monster,FALSE,FALSE,FALSE,TRUE
