,Pokemon Number,Stat Total,HP,Attack,Defense,Speed,Sp.Def,Sp.Atk,First Type,Second Type,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical,Is Fully Evolved
Bulbasaur,1,318,45,49,49,45,65,65,Grass,Poison,Overgrow,None,Chlorophyll,1,Grass,Monster,FALSE,FALSE,FALSE,FALSE
Ivysaur,2,405,60,62,63,60,80,80,Grass,Poison,Overgrow,None,Chlorophyll,1,Grass,Monster,FALSE,FALSE,FALSE,FALSE
Venusaur,3,525,80,82,83,80,100,100,Grass,Poison,Overgrow,None,Chlorophyll,1,Grass,Monster,FALSE,FALSE,FALSE,TRUE
Charmander,4,309,39,52,43,65,50,60,Fire,None,Blaze,None,Solar Power,1,Dragon,Monster,FALSE,FALSE,FALSE,FALSE
Charmeleon,5,405,58,64,58,80,65,80,Fire,None,Blaze,None,Solar Power,1,Dragon,Monster,FALSE,FALSE,FALSE,FALSE
Charizard,6,534,78,84,78,100,85,109,Fire,Flying,Blaze,None,Solar Power,1,Dragon,Monster,FALSE,FALSE,FALSE,TRUE
Squirtle,7,314,44,48,65,43,64,50,Water,None,Torrent,None,Rain Dish,1,Monster,Water 1,FALSE,FALSE,FALSE,FALSE
Wartortle,8,405,59,63,80,58,80,65,Water,None,Torrent,None,Rain Dish,1,Monster,Water 1,FALSE,FALSE,FALSE,FALSE
Blastoise,9,530,79,83,100,78,105,85,Water,None,Torrent,None,Rain Dish,1,Monster,Water 1,FALSE,FALSE,FALSE,TRUE
Caterpie,10,195,45,30,35,45,20,20,Bug,None,Shield Dust,None,Run Away,1,Bug,None,FALSE,FALSE,FALSE,FALSE
Metapod,11,205,50,20,55,30,25,25,Bug,None,Shed Skin,None,None,1,Bug,None,FALSE,FALSE,FALSE,FALSE
Butterfree,12,395,60,45,50,70,80,90,Bug,Flying,Compound Eyes,None,Tinted Lens,1,Bug,None,FALSE,FALSE,FALSE,TRUE
Weedle,13,195,40,35,30,50,20,20,Bug,Poison,Shield Dust,None,Run Away,1,Bug,None,FALSE,FALSE,FALSE,FALSE
Kakuna,14,205,45,25,50,35,25,25,Bug,Poison,Shed Skin,None,None,1,Bug,None,FALSE,FALSE,FALSE,FALSE
Beedrill,15,395,65,90,40,75,80,45,Bug,Poison,Swarm,None,Sniper,1,Bug,None,FALSE,FALSE,FALSE,TRUE
Pidgey,16,251,40,45,40,56,35,35,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,Flying,None,FALSE,FALSE,FALSE,FALSE
Pidgeotto,17,349,63,60,55,71,50,50,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1,Flying,None,FALSE,FALSE,FALSE,FALSE
